Elapsed time,virtual.lab.inf.uva.es CPU,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap
22:56:51.0,0.9,0,0,27.946,11874304
22:56:52.0,1.01,0,2,27.804,11874304
22:56:53.0,0.502,0,0,27.656,11874304
22:56:54.0,0.995,0,0,27.506,11874304
22:56:55.0,11.557,0,54,27.351,11874304
22:56:56.0,1.5,0,0,27.2,11874304
22:56:57.0,1.507,0,2,27.056,11874304
22:56:58.0,1.01,0,0,26.915,11874304
22:56:59.0,2.525,0,0,26.758,11874304
22:57:00.0,2.512,0,5,26.669,11874304
22:57:01.0,6.5,0,0,26.721,11874304
22:57:02.0,3.03,0,2,26.779,11874304
22:57:03.0,4,0,0,26.935,11874304
22:57:04.0,6.532,0,0,27.246,11874304
22:57:05.0,7.035,0,0,27.819,11874304
22:57:06.0,8.629,0,0,28.655,11874304
22:57:07.0,6.965,0,2,29.011,11874304
22:57:08.0,10.659,0,0,29.742,11874304
22:57:09.0,11.167,0,0,30.57,11874304
22:57:10.0,11.224,0,0,31.203,11874304
22:57:11.0,12.5,0,0,32.102,11874304
22:57:12.0,12.182,0,2,33.053,11874304
22:57:13.0,15.228,0,0,34.686,11874304
22:57:14.0,11.34,0,0,34.787,11874304
22:57:15.0,10.05,0,0,34.809,11874304
22:57:16.0,10.891,0,0,35.064,11874304
22:57:17.0,9.547,0,6,35.089,11874304
22:57:18.0,30.927,0,12,35.567,11874304
22:57:19.0,10.05,0,9,35.909,11874304
22:57:20.0,10.5,0,16,35.941,11874304
22:57:21.0,14.795,0,9,36.471,11874304
22:57:22.0,20.408,0,9,36.681,11874304
22:57:23.0,44.329,0,12,38.03,11874304
22:57:24.0,14.572,0,12,38.731,11874304
22:57:25.0,12.182,0,9,39.57,11874304
22:57:26.0,11.111,0,15,39.515,11874304
22:57:27.0,12.745,0,9,39.932,11874304
22:57:28.0,11.616,0,10,40.678,11874304
22:57:29.0,6.122,0,9,40.794,11874304
22:57:30.0,23.857,0,15,40.789,11874304
22:57:31.0,44.949,0,91,40.843,11874304
22:57:32.0,13.705,0,15,40.65,11874304
22:57:33.0,5.612,0,3,40.837,11874304
22:57:34.0,4.615,0,0,40.953,11874304
22:57:35.0,35,0,53,40.896,11874304
22:57:36.0,11.224,0,11,40.394,11874304
22:57:37.0,7.575,0,14,39.972,11874304
22:57:38.0,13.846,0,3,39.196,11874304
22:57:39.0,4.568,0,9,38.456,11874304
22:57:40.0,6.185,0,9,37.631,11874304
22:57:41.0,8.673,0,9,37.843,11874304
22:57:42.0,5.102,0,12,36.914,11874304
22:57:43.0,3.061,0,3,36.199,11874304
