Elapsed time,virtual.lab.inf.uva.es CPU,virtual.lab.inf.uva.es Disks I/O reads,virtual.lab.inf.uva.es Disks I/O writes,virtual.lab.inf.uva.es Memory usedperc,virtual.lab.inf.uva.es Swap
17:28:05.0,30.927,0,0,25.043,8712192
17:28:06.0,10.204,0,0,25.043,8712192
17:28:07.0,27.5,0,11,25.513,8712192
17:28:08.0,32.307,0,4,26.694,8712192
17:28:09.0,24.365,0,9,27.667,8712192
17:28:10.0,32.835,0,6,29.902,8712192
17:28:11.0,40.101,0,3,33.627,8712192
17:28:12.0,28.643,0,6,35.702,8712192
17:28:13.0,50.761,0,83,37.597,8712192
17:28:14.0,48.205,0,63,39.39,8712192
17:28:15.0,19.696,0,3,40.226,8712192
17:28:16.0,22.222,0,3,41.044,8712192
17:28:17.0,20.207,0,28,41.341,8712192
17:28:18.0,20.603,0,9,42.432,8712192
17:28:19.0,52.791,0,82,44.276,8712192
17:28:20.0,81.28,0,79,46.398,8712192
17:28:21.0,47.368,0,24,49.573,8712192
17:28:22.0,46.428,0,6,53.113,8712192
17:28:23.0,27.363,0,6,54.995,8712192
17:28:24.0,19,0,3,55.77,8712192
17:28:25.0,17.5,0,7,56.176,8712192
17:28:26.0,39.285,0,29,57.352,8712192
17:28:27.0,25.38,0,26,58.356,8712192
17:28:29.0,31.818,0,14,60.521,8712192
17:28:30.0,18.367,0,3,61.503,8712192
17:28:31.0,24.623,0,8,62.725,8712192
17:28:32.0,19.696,0,9,63.933,8712192
17:28:33.0,14.72,0,19,64.957,8712192
17:28:34.0,6.091,0,6,65.09,8712192
17:28:35.0,10.152,0,6,65.173,8712192
17:28:36.0,4.639,0,19,64.785,8712192
17:28:37.0,5.128,0,3,64.78,8712192
17:28:38.0,4.522,0,6,64.614,8712192
17:28:39.0,10.552,0,12,64.202,8712192
17:28:40.0,7.106,0,12,64.146,8712192
17:28:41.0,15.979,0,27,63.873,8712192
17:28:42.0,15.656,0,32,64.437,8712192
17:28:43.0,7.106,0,16,64.282,8712192
17:28:44.0,11.734,0,15,64.655,8712192
17:28:45.0,10.152,0,9,64.358,8712192
17:28:46.0,8.585,0,19,63.551,8712192
17:28:47.0,59.278,0,96,63.73,8712192
17:28:48.0,81,0,70,63.589,8712192
17:28:49.0,23.618,0,35,63.711,8712192
17:28:50.0,11.386,0,10,64.122,8712192
17:28:51.0,13.065,0,19,64.406,8712192
17:28:52.0,13.5,0,11,64.334,8712192
17:28:53.0,20.895,0,35,64.483,8712192
17:28:54.0,62.311,0,102,64.245,8712192
17:28:55.0,12,0,22,64.3,8712192
17:28:56.0,22.222,0,24,64.946,8712192
17:28:57.0,9.09,0,12,65.204,8712192
17:28:58.0,22.842,0,43,64.707,8974336
17:28:59.0,21.212,0,53,64.252,8974336
17:29:00.0,14.795,0,15,64.903,8974336
17:29:01.0,9.644,0,12,64.837,8974336
